Model,Band_Selection,N_Bands,OA,AA,Kappa
SVM,PCA Loadings,8,0.8862,0.8949,0.8767
SVM,Mutual Information,8,0.7487,0.7571,0.7279
SVM,K-Means Clustering,8,0.9467,0.9533,0.9422
SVM,Laplacian Score,8,0.8636,0.8723,0.8523
SVM,Genetic Algorithm,8,0.9579,0.9632,0.9544
SVM,QPSO,8,0.9631,0.9672,0.96
SVM,Quantum Amplitude (Qiskit),8,0.8308,0.8457,0.8168
Random Forest,PCA Loadings,8,0.8738,0.8826,0.8633
Random Forest,Mutual Information,8,0.72,0.7282,0.6968
Random Forest,K-Means,8,0.9128,0.9245,0.9056
Random Forest,Laplacian Score,8,0.8369,0.8465,0.8234
Random Forest,Genetic Algorithm,8,0.9303,0.9377,0.9245
Random Forest,QPSO,8,0.9231,0.9337,0.9167
Random Forest,Quantum (Qiskit),8,0.8164,0.827,0.8012
XGBoost,PCA Loadings,8,0.881,0.8893,0.8711
XGBoost,Mutual Information,8,0.7056,0.714,0.6812
XGBoost,K-Means,8,0.9108,0.9237,0.9034
XGBoost,Laplacian Score,8,0.8277,0.8378,0.8134
XGBoost,Genetic Algorithm,8,0.9241,0.9335,0.9178
XGBoost,QPSO,8,0.9333,0.9415,0.9278
XGBoost,Quantum (Qiskit),8,0.8123,0.8185,0.7966
LightGBM,PCA Loadings,8,0.8862,0.8932,0.8767
LightGBM,Mutual Information,8,0.7138,0.7179,0.6898
LightGBM,K-Means,8,0.9087,0.9221,0.9012
LightGBM,Laplacian Score,8,0.8144,0.8279,0.7989
LightGBM,Genetic Algorithm,8,0.9251,0.9352,0.9189
LightGBM,QPSO,8,0.9303,0.9385,0.9245
LightGBM,Quantum (Qiskit),8,0.8062,0.8139,0.79
KNN,PCA Loadings,8,0.8533,0.8622,0.8411
KNN,Mutual Information,8,0.6964,0.71,0.6714
KNN,K-Means,8,0.9138,0.9265,0.9067
KNN,Laplacian Score,8,0.8185,0.8331,0.8035
KNN,Genetic Algorithm,8,0.9344,0.9435,0.9289
KNN,QPSO,8,0.921,0.9322,0.9145
KNN,Quantum (Qiskit),8,0.7928,0.8019,0.7756


Model,Band_Selection,N_Bands,OA,AA,Kappa
KNN,PCA Loadings,8,0.8533,0.8622,0.8411
KNN,Mutual Information,8,0.6964,0.71,0.6714
KNN,K-Means,8,0.9138,0.9265,0.9067
KNN,Laplacian Score,8,0.8185,0.8331,0.8035
KNN,Genetic Algorithm,8,0.9344,0.9435,0.9289
KNN,QPSO,8,0.921,0.9322,0.9145
KNN,Quantum (Qiskit),8,0.7928,0.8019,0.7756


Model,Band_Selection,N_Bands,OA,AA,Kappa
LightGBM,PCA Loadings,8,0.8862,0.8932,0.8767
LightGBM,Mutual Information,8,0.7138,0.7179,0.6898
LightGBM,K-Means,8,0.9087,0.9221,0.9012
LightGBM,Laplacian Score,8,0.8144,0.8279,0.7989
LightGBM,Genetic Algorithm,8,0.9251,0.9352,0.9189
LightGBM,QPSO,8,0.9303,0.9385,0.9245
LightGBM,Quantum (Qiskit),8,0.8062,0.8139,0.79


Model,Band_Selection,N_Bands,OA,AA,Kappa
Random Forest,PCA Loadings,8,0.8738,0.8826,0.8633
Random Forest,Mutual Information,8,0.72,0.7282,0.6968
Random Forest,K-Means,8,0.9128,0.9245,0.9056
Random Forest,Laplacian Score,8,0.8369,0.8465,0.8234
Random Forest,Genetic Algorithm,8,0.9303,0.9377,0.9245
Random Forest,QPSO,8,0.9231,0.9337,0.9167
Random Forest,Quantum (Qiskit),8,0.8164,0.827,0.8012


Model,Band_Selection,N_Bands,OA,AA,Kappa
XGBoost,PCA Loadings,8,0.881,0.8893,0.8711
XGBoost,Mutual Information,8,0.7056,0.714,0.6812
XGBoost,K-Means,8,0.9108,0.9237,0.9034
XGBoost,Laplacian Score,8,0.8277,0.8378,0.8134
XGBoost,Genetic Algorithm,8,0.9241,0.9335,0.9178
XGBoost,QPSO,8,0.9333,0.9415,0.9278
XGBoost,Quantum (Qiskit),8,0.8123,0.8185,0.7966


0,1,2,3,4,5,6,7
-0.70091504,-0.6422524,0.19861554,-0.6161015,-0.91680425,-0.8069816,-1.1595713,-1.0536739
-0.15952283,0.027133327,-0.13491374,-0.18341276,-0.3237551,-0.2597091,-0.15011816,-0.082699865
-0.6697237,-0.6262893,0.79700625,-0.12343609,-0.73147637,-0.57610106,-0.8379757,-0.66708237
0.69378257,0.44217375,1.5094347,1.0311147,0.6646602,0.5868531,0.33227542,0.54663515
-1.2300534,-1.3073813,-0.6217193,-0.7681852,-1.1021321,-1.1319247,-1.141705,-1.3233888
-0.382318,-0.46559414,-0.030685844,0.0072273514,-0.2743343,-0.22550456,-0.50744677,-0.6131394
0.29943517,0.4666505,0.24766396,0.47633052,0.55346346,0.33031914,0.439474,0.5736066
0.077754,0.0005281713,0.17899618,0.19572544,0.24458371,0.17639872,0.1357447,0.35783464
-0.17623247,-0.015434922,0.050244056,-0.11701002,-0.36699826,-0.3708738,-0.5253132,-0.5412154
0.8675628,1.1392288,1.0005572,0.9347236,0.8252777,0.7407735,0.36800826,0.5736066
-0.77777934,-0.79017705,-0.53220594,-0.3226443,-0.61410207,-0.32811815,-0.59677887,-0.5951584
0.80852205,0.6560792,1.3255031,1.238891,0.7202586,0.78352916,0.56453896,0.75341666
2.7078507,2.7312813,1.895691,1.9093444,2.1040401,1.9977901,2.5566456,2.6054597
0.8385994,0.6592718,0.48554882,0.74622554,0.6955482,0.8262848,0.6985372,0.69048315
-0.06483489,-0.02714119,0.090709,0.3478091,0.034545466,-0.011726216,0.18934399,-0.10967137
-0.40125558,-0.48155725,-1.3856485,-1.3465316,-0.73147637,-0.8069816,-0.3466489,-0.4333294
-0.2207915,-0.09418618,-0.025781002,-0.14057228,-0.31139988,-0.21695343,-0.4181146,-0.4333294
0.7461394,0.75505036,0.4953585,0.74836755,0.99825037,1.1939836,0.84146863,0.6365401
-1.116428,-1.0934758,-0.4439188,-1.4364966,-1.5963397,-1.6877484,-1.3471688,-1.3953128
-0.27760425,-0.17400165,0.06495858,0.29640052,0.1148542,0.14219418,-0.069719225,-0.27150038
-0.609569,-0.60394096,0.21455628,0.0115113985,-0.54614854,-0.6017544,-0.76650995,-0.6221299
-0.30990955,-0.39961335,-0.23546301,-0.64608985,-0.64499,-0.5932033,-0.68611103,-0.4333294
4.479072,3.978531,2.5173798,1.7958171,2.029909,2.0234435,2.5923786,2.7852697
-0.00022430423,0.108013,-0.26734447,0.19358341,0.44844437,0.450035,0.18041077,0.07013863
-1.7157469,-1.7277427,-2.529703,-2.5846214,-2.1029024,-2.2606742,-1.7223638,-1.7549329
-0.04812526,0.028197533,-0.12265164,0.054351874,0.034545466,0.14219418,0.27867615,0.043167137
0.85530907,0.6475655,1.191846,1.0096945,0.62759465,0.79208034,0.80573577,0.78937864
-0.22190547,-0.12824078,0.4622508,-0.37191084,-0.77471954,-0.84118617,-0.6146453,-0.8379019
0.17132796,0.29212067,0.047791634,0.59414184,0.8932312,0.92889845,0.9040011,0.91524565
0.74056953,0.6848127,0.48922744,0.65626055,0.74496895,0.59540427,0.73427004,0.7624071
-0.95601547,-0.8976619,-0.16556899,-0.1876968,-0.6326349,-0.78132826,-0.7754432,-0.8379019
0.65702134,0.51241136,1.0557367,1.0075524,0.6461274,0.6894667,0.6538711,0.60956866
-0.16063681,-0.31660527,0.044113003,0.12289663,-0.02723049,-0.011726216,-0.007186727,0.07912914
-0.4369028,-0.38577867,0.44140524,-0.003482767,-0.60174686,-0.7129192,-0.8022428,-0.7390064
0.31725878,0.15590228,0.4965847,0.47847253,0.47315475,0.40727934,0.019612916,0.35783464
0.67150307,0.56455743,0.6008126,0.789066,0.6708378,0.6638133,0.72533685,0.67250216
-0.13724332,-0.1665522,-1.2066218,-1.0145179,-0.2743343,-0.28536248,0.45734042,0.51966363
-0.9827509,-1.1105031,-0.27838036,-1.1451814,-1.4110119,-1.3799076,-1.4722339,-1.3233888
0.88315845,1.0051388,0.89265066,0.73979944,0.7696793,0.6552622,0.5109397,0.7354356
0.6503375,0.33788154,1.1268569,0.883315,0.44226676,0.53554636,0.35014182,0.30389163
-0.10827995,-0.23359719,0.30406964,0.26212817,0.15809737,-0.12289095,0.16254435,-0.064718865
-0.89140487,-0.8806346,-0.009840265,-0.35477465,-0.6820556,-0.7471237,-0.9183746,-0.8109304
-0.8947468,-1.1030536,-0.66708916,-0.6503739,-0.9538698,-0.76422596,-0.891575,-0.6580919
-1.7469381,-1.8352275,-2.7087297,-2.7538412,-2.1770337,-2.2350209,-1.936761,-1.8628188
-1.8538798,-1.889502,-2.6952415,-2.7174268,-2.1646783,-2.0811005,-1.9278278,-1.8718094
4.625003,4.144547,2.7000852,2.5026848,2.9503706,2.818699,3.5214329,3.4415762
-0.63073456,-0.6475734,-1.446959,-1.1044829,-0.72529876,-0.69581693,-0.14118494,-0.21755737
-1.7892692,-1.8607684,-2.705051,-2.730279,-2.232632,-2.2179186,-1.8563621,-1.8538283
0.10226146,-0.04948952,0.3445346,0.5084609,0.22605093,0.21915439,0.24294329,0.17802463
-1.795953,-1.9086577,-2.733254,-2.7174268,-2.201744,-2.2350209,-1.9635606,-1.8628188
1.1672223,1.0402576,0.6645755,1.1275058,1.5048132,1.5531312,1.770523,1.6794382
0.11005929,-0.06119579,-0.087091535,0.17858924,0.3804908,0.3388703,0.23401007,0.31288213
2.4917393,2.6738143,2.0403838,1.8986343,2.165816,1.9806879,2.360115,2.1918967
-1.5675881,-1.6979449,-2.290592,-2.5053666,-2.1214352,-2.1580608,-1.8742285,-1.8268569
-1.4873818,-1.5755612,-2.3580334,-2.4882302,-2.065837,-1.9870381,-1.6598314,-1.7819043
-0.6674958,-0.59755576,-0.10916332,-0.12772013,-0.34228787,-0.16564661,-0.38238174,-0.4513104
-0.07151875,-0.13781863,0.22313975,0.1828733,-0.05811847,0.15929645,0.11787828,0.034176633
0.027625088,0.12184768,-0.2575348,0.11647056,0.2507613,0.3388703,0.15361114,-0.04673787
1.1037257,1.4457202,0.87670994,0.9625699,0.8314553,0.80063146,0.42160755,0.5915876
-1.6065773,-1.6628261,-2.239091,-2.3061583,-2.170856,-2.106754,-1.6955642,-1.8178663
-0.05369514,0.046289038,0.020815,0.38208148,0.42991158,0.28756347,0.36800826,0.44773963
-0.19962595,-0.10269983,-0.056436263,0.15074293,0.022190273,-0.063033015,-0.3377157,-0.12765236
-0.39457172,-0.3197979,-0.27715415,-0.08487967,-0.1631376,-0.13144208,-0.39131495,-0.48727238
0.74836737,0.83912265,0.40461892,0.80191815,1.0723815,1.2025347,0.9576004,1.0411127
0.9266035,0.74121565,1.3855875,1.3010097,0.7820345,0.8433871,0.8772015,0.89726466
0.28606746,0.24210298,1.075356,0.9797061,0.42991158,0.44148389,0.26974294,0.27692014
-0.04812526,-0.19209315,0.12749532,0.24499197,0.20134054,0.23625666,0.18041077,0.061148137
-0.5906314,-0.55285907,-0.33478606,-0.16413455,-0.28668952,-0.35377154,-0.32878247,-0.5052534
1.9514612,1.8139355,1.1697743,1.4787977,1.937245,2.0405457,2.404781,2.4166594
-0.19182813,-0.28255066,-1.2961351,-1.2287203,-0.65734524,-0.45638514,-0.08758566,-0.20856687
-0.38677388,-0.36768717,-0.6364339,-0.32478634,0.16427496,-0.09723755,0.18041077,0.11509114
0.23928048,0.31021217,-0.14349721,-0.11915205,0.1272094,-0.0031750822,0.17147757,0.124081634
0.9399712,1.0125883,0.5480856,0.89188313,1.3874389,1.2538415,1.189864,1.1579893
0.036536895,0.056931097,0.02326742,0.32424682,0.43608916,0.5013418,0.30547577,0.15105313
-0.8290222,-0.78592026,0.999331,0.35637718,-0.66970044,-0.6701635,-0.9987736,-0.9278069
0.8686768,1.037065,0.5149779,0.7826399,1.232999,1.2623926,1.1719977,1.3827517
0.18580964,0.030325945,0.6510872,0.54059124,0.23222852,0.18494986,0.29654256,0.18701513
0.9110078,1.0200377,0.3825471,0.8319065,1.3133078,1.2281882,1.2166637,1.3198183
-1.4628744,-1.4925531,-2.2280552,-2.2975903,-1.9422851,-1.9699358,-1.5347663,-1.5841134
-0.37006423,-0.19634998,0.597134,-0.2519575,-0.7191212,-0.77277714,-0.7486435,-0.9278069
-0.12721753,-0.07715888,-1.0165591,-0.930979,-0.5214381,-0.6103056,-0.14118494,-0.100680865
3.5321927,3.3314936,2.5443563,1.8772141,1.9187121,1.732705,1.9134544,1.9401628
-1.1030602,-1.1605208,-0.90620023,-1.468627,-1.590162,-1.533828,-1.3382356,-1.3773319
-0.21187969,-0.2719086,-1.2961351,-0.9266949,0.022190273,-0.063033015,0.89506793,0.72644514
0.65367943,0.598612,1.005462,1.0546769,0.85616565,0.87759167,0.72533685,0.6005781
-0.67306566,-0.80507594,-0.38873932,-0.59468126,-0.77471954,-0.78132826,-0.76650995,-0.95477843
-0.36115244,0.033518564,-0.012292686,-0.26695168,-0.23109114,-0.30246475,-0.16798459,-0.23553836
1.6328641,1.5723608,0.90491277,1.243175,1.6716083,1.8438698,2.1993172,1.7423717
-0.8056288,-0.7614435,-0.4892886,-0.39761513,-0.6882332,-0.6017544,-0.68611103,-0.7210254
-0.12276164,-0.30915582,0.20474659,0.30496863,0.04072306,0.11654079,-0.016119942,0.052157637
-0.7744374,-0.8295527,-0.4095849,-0.3397805,-0.4349518,-0.4734874,-0.48958033,-0.6580919
0.6637052,0.4719715,1.005462,0.95614386,0.7017258,0.6296088,0.41267434,0.64553064
0.02205521,0.08034364,-0.072377004,0.08219818,0.07161103,0.09088739,0.10001185,0.26792964
0.067728214,0.18037902,-0.4120373,-0.6161015,-0.31757748,-0.43073174,-0.18585101,-0.17260487
-0.5037413,-0.47091517,0.21087764,-0.0056247907,-0.40406382,-0.4649363,-0.63251173,-0.6131394
-0.63630444,-0.68162805,-0.29677352,-0.16199252,-0.34846547,-0.37942493,-0.42704782,-0.42433888
-0.8513017,-0.815718,-0.2955473,-0.2241112,-0.5523261,-0.6530613,-0.68611103,-0.5771774
-0.8056288,-1.0572928,0.013457736,-0.41903538,-1.028001,-0.9181464,-0.9630407,-1.0446835
-0.9994605,-0.9827984,0.36905882,-0.294798,-0.8735611,-0.97800434,-0.9898403,-0.7659779
-0.36115244,-0.031398013,-0.2685707,-0.3226443,-0.13224962,-0.31101587,-0.14118494,-0.20856687
0.8853864,0.8987182,0.49290606,0.6841068,0.8932312,0.9545519,0.6360047,0.67250216
6.0787416,5.3077245,3.0127687,1.969321,2.3387887,2.3911424,3.1015718,3.1089277
-0.70091504,-0.70610476,0.40707132,-0.6118175,-0.935337,-1.0036577,-1.0434396,-1.1076169
1.043571,0.9466075,0.6130747,0.786924,1.202111,1.3136995,1.645458,1.4816473
-0.07931658,0.10162776,-0.16434279,-0.03561312,-0.11989442,-0.080135286,-0.25731674,-0.07370937
-0.15061103,-0.07290205,0.7074929,0.15074293,-0.38553104,-0.3623227,-0.5878457,-0.6401109
0.7272018,0.7827197,0.5211089,0.8683209,1.1774006,1.1768813,1.1719977,1.0860652
-0.2709204,-0.014370715,-0.15453312,-0.037755143,-0.21255836,-0.18274888,-0.18585101,-0.40635788
0.2649019,0.4155686,0.30039102,0.52559704,0.49168754,0.20205212,0.36800826,0.6365401
0.5957527,0.48048517,1.2776809,1.234607,0.72643614,0.77497804,0.5824054,0.7624071
-0.15283898,-0.06545261,0.020815,-0.044181217,-0.20638077,-0.07158415,-0.4181146,-0.3074624
-0.7844632,-0.8625431,-0.49909827,-0.8174517,-0.91062665,-0.84118617,-0.76650995,-0.8379019
5.029376,4.521276,2.5087962,1.785107,2.820641,2.681881,3.6822307,3.8281677
0.43199828,0.42940328,0.12872152,0.5020348,0.6584826,0.70656896,0.40374112,0.5556256
1.2674801,1.2190443,0.76021993,1.1339318,1.5727668,1.5616823,1.6543912,1.4906377
-1.6399965,-1.7277427,-2.5198932,-2.6488822,-2.1893888,-2.0896516,-1.731297,-1.8178663
-0.30211172,-0.2889359,-0.07728184,0.03507366,-0.10136164,-0.011726216,-0.1143853,-0.3703959
0.23705253,0.08672888,-0.051531423,0.23213984,0.46697715,0.6210576,0.47520685,0.16004364
-0.27649027,-0.030333808,-0.2232009,-0.037755143,-0.12607202,-0.13999322,-0.13225172,-0.07370937
0.46541753,0.74015146,0.08335174,0.49560872,0.5781739,0.5440975,0.26080972,0.106100634
-0.4692081,-0.34853145,0.123816684,0.30496863,0.1148542,0.04813172,-0.016119942,-0.0017853671
0.9555669,0.897654,0.7320171,0.95828587,1.2947749,1.3564551,1.3506619,1.1130366
-0.11941971,0.13887498,-0.3727986,-0.25624156,0.083966225,-0.15709549,0.16254435,0.025186133
-1.7413683,-1.817136,-2.6915627,-2.725995,-2.170856,-2.2692256,-1.7580967,-1.9257524
0.14570652,-0.0026644473,0.486775,0.3949336,0.13338698,0.36452368,0.06427899,0.07912914
-0.28206018,-0.2516887,0.41810724,-0.061317403,-0.64499,-0.7129192,-0.9183746,-0.8558829
0.7327717,1.0349365,0.8068159,0.85761076,0.8067449,0.59540427,0.3948079,0.45673013
1.3410026,1.3808037,0.89019823,1.3095777,1.6221876,1.6642959,1.8777215,1.5805427
-0.22858933,-0.1995426,-0.5702185,-0.20054895,0.108676605,0.031029452,0.1357447,0.016195633
1.2106674,1.3712258,1.0471532,0.8897411,0.87469846,0.87759167,0.4484072,0.62754965
-0.5906314,-0.6614081,0.42055964,-0.0013407433,-0.7500092,-0.7984305,-0.92730784,-0.66708237
0.99344206,0.91255283,0.5983602,0.7633617,0.8376329,0.72367126,0.43054077,0.64553064
0.052132554,0.1612233,0.7185288,0.37137136,-0.18167038,-0.11433982,-0.24838352,-0.14563337
1.2351749,1.4850959,1.0299863,1.0503929,0.85616565,1.031512,0.55560577,0.62754965
-0.46141025,-0.36768717,0.30161723,-0.1791287,-0.66970044,-0.49058968,-0.5521128,-0.8648734
-0.91925424,-0.92107445,-0.6536008,-0.4297455,-0.6820556,-0.6445101,-0.75757676,-0.7030444
-0.46252424,-0.26020235,-0.061341107,0.10361842,-0.13842721,-0.11433982,-0.1769178,-0.18159537
0.2649019,0.33894575,0.087030366,0.5020348,0.5411083,0.33031914,0.3858747,0.67250216
-1.6500223,-1.6649545,-2.3040802,-2.449674,-2.065837,-2.055447,-1.7491635,-1.6470468
0.8909563,1.0083314,0.65599203,0.85546875,0.7696793,0.92034733,0.5020065,0.4926921
0.536712,0.3985413,1.296074,1.1296477,0.5719963,0.6039554,0.37694147,0.44773963
0.5634474,0.36767933,-0.72594726,-0.3226443,0.8129225,0.70656896,1.4221276,1.6254952
