Model,Band_Selection,N_Bands,OA,AA,Kappa
SVM,PCA Loadings,10,0.9005,0.906,0.8922
SVM,Mutual Information,10,0.761,0.77,0.7413
SVM,K-Means Clustering,10,0.9477,0.9545,0.9433
SVM,Laplacian Score,10,0.8615,0.8723,0.8501
SVM,Genetic Algorithm,10,0.9651,0.9689,0.9622
SVM,QPSO,10,0.9703,0.9739,0.9678
SVM,Quantum Amplitude (Qiskit),10,0.8944,0.9079,0.8856
Random Forest,PCA Loadings,10,0.8851,0.8945,0.8756
Random Forest,Mutual Information,10,0.7333,0.7414,0.7113
Random Forest,K-Means,10,0.9231,0.9337,0.9167
Random Forest,Laplacian Score,10,0.8328,0.8418,0.8189
Random Forest,Genetic Algorithm,10,0.9262,0.9355,0.92
Random Forest,QPSO,10,0.9292,0.9382,0.9234
Random Forest,Quantum (Qiskit),10,0.8697,0.8809,0.859
XGBoost,PCA Loadings,10,0.8913,0.8985,0.8822
XGBoost,Mutual Information,10,0.7292,0.735,0.7067
XGBoost,K-Means,10,0.9262,0.9368,0.92
XGBoost,Laplacian Score,10,0.839,0.8494,0.8256
XGBoost,Genetic Algorithm,10,0.9374,0.9451,0.9322
XGBoost,QPSO,10,0.9313,0.9371,0.9256
XGBoost,Quantum (Qiskit),10,0.8749,0.8851,0.8645
LightGBM,PCA Loadings,10,0.8903,0.8985,0.8811
LightGBM,Mutual Information,10,0.7159,0.7279,0.6923
LightGBM,K-Means,10,0.9262,0.9369,0.92
LightGBM,Laplacian Score,10,0.8154,0.8299,0.8
LightGBM,Genetic Algorithm,10,0.9385,0.9456,0.9333
LightGBM,QPSO,10,0.9344,0.9398,0.9289
LightGBM,Quantum (Qiskit),10,0.8728,0.8812,0.8623
KNN,PCA Loadings,10,0.8574,0.862,0.8455
KNN,Mutual Information,10,0.7169,0.731,0.6935
KNN,K-Means,10,0.9138,0.9266,0.9067
KNN,Laplacian Score,10,0.8246,0.8373,0.8101
KNN,Genetic Algorithm,10,0.9323,0.9412,0.9267
KNN,QPSO,10,0.9456,0.9522,0.9411
KNN,Quantum (Qiskit),10,0.8544,0.867,0.8423


Model,Band_Selection,N_Bands,OA,AA,Kappa
KNN,PCA Loadings,10,0.8574,0.862,0.8455
KNN,Mutual Information,10,0.7169,0.731,0.6935
KNN,K-Means,10,0.9138,0.9266,0.9067
KNN,Laplacian Score,10,0.8246,0.8373,0.8101
KNN,Genetic Algorithm,10,0.9323,0.9412,0.9267
KNN,QPSO,10,0.9456,0.9522,0.9411
KNN,Quantum (Qiskit),10,0.8544,0.867,0.8423


Model,Band_Selection,N_Bands,OA,AA,Kappa
LightGBM,PCA Loadings,10,0.8903,0.8985,0.8811
LightGBM,Mutual Information,10,0.7159,0.7279,0.6923
LightGBM,K-Means,10,0.9262,0.9369,0.92
LightGBM,Laplacian Score,10,0.8154,0.8299,0.8
LightGBM,Genetic Algorithm,10,0.9385,0.9456,0.9333
LightGBM,QPSO,10,0.9344,0.9398,0.9289
LightGBM,Quantum (Qiskit),10,0.8728,0.8812,0.8623


Model,Band_Selection,N_Bands,OA,AA,Kappa
Random Forest,PCA Loadings,10,0.8851,0.8945,0.8756
Random Forest,Mutual Information,10,0.7333,0.7414,0.7113
Random Forest,K-Means,10,0.9231,0.9337,0.9167
Random Forest,Laplacian Score,10,0.8328,0.8418,0.8189
Random Forest,Genetic Algorithm,10,0.9262,0.9355,0.92
Random Forest,QPSO,10,0.9292,0.9382,0.9234
Random Forest,Quantum (Qiskit),10,0.8697,0.8809,0.859


Model,Band_Selection,N_Bands,OA,AA,Kappa
XGBoost,PCA Loadings,10,0.8913,0.8985,0.8822
XGBoost,Mutual Information,10,0.7292,0.735,0.7067
XGBoost,K-Means,10,0.9262,0.9368,0.92
XGBoost,Laplacian Score,10,0.839,0.8494,0.8256
XGBoost,Genetic Algorithm,10,0.9374,0.9451,0.9322
XGBoost,QPSO,10,0.9313,0.9371,0.9256
XGBoost,Quantum (Qiskit),10,0.8749,0.8851,0.8645


0,1,2,3,4,5,6,7,8,9
-1.5367062,-1.7096312,-1.8607684,-2.3197606,-2.7758584,-2.6767666,-2.5926654,-2.3411772,-1.8585554,-1.8166941
0.2953093,0.22926842,-0.04948952,0.11622664,0.32806164,0.48718888,0.52411073,0.30071113,0.23945574,0.15822728
-1.5622891,-1.7585453,-1.9086577,-2.3187344,-2.7547202,-2.6408563,-2.737341,-2.3191614,-1.8219622,-1.7656186
1.2319255,1.241518,1.0402576,1.110528,0.37118337,0.9104176,1.0849519,1.4345216,1.825162,1.9118211
0.23703727,0.12600537,-0.06119579,-0.080786645,-0.16995221,-0.011708049,0.2454763,0.31905755,0.15407158,0.17525247
2.2680306,2.327139,2.6738143,2.2361717,2.2000525,2.0364625,2.0601723,2.0289462,2.3862581,2.4225767
-1.5395488,-1.5927808,-1.6979449,-1.9924312,-2.3277304,-2.4574573,-2.419412,-2.1430354,-1.7731713,-1.8507445
-1.4542727,-1.4786481,-1.5755612,-1.9031596,-2.3378768,-2.2766232,-2.499787,-2.0879962,-1.736578,-1.7485933
-0.5276054,-0.5316172,-0.59755576,-0.5363799,0.0008437021,-0.1066139,-0.18676427,-0.18363504,-0.43141994,-0.45467937
0.056536134,-0.028889207,-0.13781863,-0.037689988,0.03720125,0.2653144,0.256193,0.043860886,-0.04109226,0.3114539
-0.058586646,-0.12535864,0.12184768,0.08954776,-0.33398396,-0.15021928,0.12580639,0.19797103,0.044291917,-0.13120085
0.6364138,0.7469424,1.4457202,1.2654707,1.0399932,0.9719781,0.91348445,0.8584431,0.5322015,0.3284791
-1.5892931,-1.6009332,-1.6628261,-1.8508279,-2.2812266,-2.4600222,-2.331892,-2.1136813,-1.7731713,-1.7315682
0.008212991,-0.083238184,0.046289038,0.03105944,0.16656649,0.31533235,0.3437128,0.4328055,0.33703765,0.2433532
-0.24335161,-0.26123106,-0.10269983,-0.104387194,0.14035523,0.21273145,0.19010665,-0.0625485,-0.24845386,-0.33550307
-0.4863886,-0.34003708,-0.3197979,-0.38041103,-0.15811488,-0.06557353,-0.19569486,-0.2313358,-0.34603578,-0.47170454
0.70321345,0.71705043,0.83912265,0.6887965,0.56649953,0.5667046,0.8384675,1.1263012,0.8737382,1.0094864
0.85386795,0.9534685,0.74121565,1.0130476,1.2479922,1.4093145,1.2546331,0.82175016,0.92252916,1.1286627
0.49855074,0.38552174,0.24210298,0.68161374,1.068741,1.1104894,0.87240374,0.46215984,0.23945574,0.48170575
0.21145444,0.123287916,-0.19209315,-0.08796942,-0.018603358,0.14604084,0.22761513,0.106238805,0.1296761,0.039050993
-0.5858774,-0.46368098,-0.55285907,-0.51380545,-0.24689496,-0.17202197,-0.09210002,-0.297383,-0.4802109,-0.5908808
2.0761592,2.036372,1.8139355,1.7518473,0.8852622,1.2323279,1.5386258,2.014269,2.2886763,2.5758033
-0.20924117,-0.018019414,-0.28255066,-0.73852366,-1.2361585,-1.4596634,-1.1530541,-0.6496348,-0.22405837,0.039050993
-0.34141916,-0.40117967,-0.36768717,-0.3208966,-0.7136244,-0.510605,-0.3778789,-0.003839875,-0.028894523,0.17525247
0.20719063,0.12872282,0.31021217,0.122383304,0.033819154,-0.28488296,-0.21534216,0.11357738,0.080885135,0.073101364
0.88229334,0.8026501,1.0125883,0.7914076,0.670499,0.71419334,0.8884788,1.2070256,1.0932976,0.8903102
0.15602496,0.03225339,0.056931097,0.037216105,-0.058343,0.14475833,0.25797912,0.39244333,0.30044445,0.14120209
-0.83175695,-0.92157114,-0.78592026,-0.3229488,1.1659763,0.8873324,0.4133714,-0.5835876,-0.8217476,-0.8973341
0.8709232,0.85699904,1.037065,0.82219094,0.66711694,0.6641754,0.6937919,1.1042855,1.2152749,1.2989146
0.2810966,0.34883618,0.030325945,0.2260205,0.4650366,0.57439965,0.47052717,0.1759553,0.2516535,-0.063100114
1.0031012,0.8542816,1.0200377,0.78627706,0.58341,0.728301,0.8188202,1.2950885,1.3128569,1.247839
-1.4286898,-1.3876135,-1.4925531,-1.8385146,-2.2812266,-2.3535738,-2.299742,-1.9192089,-1.4316347,-1.612392
-0.5475032,-0.59411854,-0.19634998,0.10596553,0.6967103,0.044722453,-0.29393137,-0.57991827,-0.80954987,-1.0335356
-0.08132695,-0.10361905,-0.07715888,-0.518936,-0.9021764,-1.0287396,-0.9762285,-0.54689467,-0.15087192,-0.080125295
3.6878781,3.588035,3.3314936,3.1422274,2.7420337,2.0133774,2.0030165,1.999592,1.9105462,1.7415693
-1.0449473,-1.1063577,-1.1605208,-0.9098842,-0.95290786,-1.4122105,-1.4781276,-1.5229255,-1.553612,-1.3059386
0.09491039,0.053992976,-0.2719086,-0.81958646,-1.253069,-1.1031252,-0.89228094,-0.0001705858,0.78835404,1.0265117
0.71458364,0.7510185,0.598612,0.7626765,1.0611312,1.079709,0.95813745,0.69332504,0.6419812,0.8222095
-0.6228304,-0.7123276,-0.80507594,-0.7652026,-0.61469805,-0.5311251,-0.6118604,-0.8367685,-0.8461431,-0.7441074
-0.49633747,-0.56830275,0.033518564,0.121357195,0.09723348,-0.08224618,-0.26356736,-0.20932007,-0.37043124,-0.47170454
1.7222633,1.7754968,1.5723608,1.462484,0.7136208,1.2554132,1.3707308,1.7977811,1.9959304,2.0480227
-0.6157241,-0.5778138,-0.7614435,-0.7518631,-0.36780494,-0.38748387,-0.4261041,-0.5395561,-0.7851544,-0.795183
-0.05005903,-0.0506288,-0.30915582,-0.080786645,0.07609537,0.23581664,0.28119868,0.014506571,0.019896436,0.10715173
-0.7564297,-0.7870574,-0.8295527,-0.8411348,-0.3280653,-0.34131345,-0.31357867,-0.37810737,-0.5290019,-0.5908808
0.6648392,0.73335516,0.4719715,0.7503632,0.91485554,1.1361396,0.950993,0.53554565,0.34923542,0.54980654
-0.02874,0.021383593,0.08034364,-0.07360387,0.032128103,0.08319779,0.21689843,0.24567178,0.23945574,0.3625295
0.023846949,-0.0098670665,0.18037902,-0.13003996,-0.33990264,-0.628596,-0.62257713,-0.42947742,-0.2606516,0.039050993
-0.5773498,-0.53569335,-0.47091517,-0.19365884,0.34412658,0.24479423,-0.054591537,-0.43314672,-0.63878155,-0.65898156
-0.7137916,-0.69602287,-0.68162805,-0.6636176,-0.1623425,-0.09507129,-0.1796198,-0.436816,-0.5655951,-0.7100571
-0.6924726,-0.6552611,-0.815718,-0.7641765,-0.15219621,-0.12841658,-0.19390875,-0.5579026,-0.6997702,-0.72708225
-0.75216585,-0.9351584,-1.0572928,-0.6543826,0.010989995,-0.17843452,-0.36001772,-0.9211622,-0.98031825,-0.9484097
-0.9028204,-0.8740158,-0.9827984,-0.7354454,0.5377517,-0.007860515,-0.3100064,-0.75604415,-0.80954987,-0.98246
-0.49633747,-0.45009375,-0.031398013,-0.08899553,-0.14965963,-0.16047937,-0.32429537,-0.19097362,-0.16306967,-0.11417566
0.7160049,0.77547556,0.8987182,0.943272,0.31030563,0.43717092,0.69736415,0.8437659,0.5687947,0.6179073
6.3897104,6.272874,5.3077245,4.580835,3.3837867,1.9967047,2.0619586,2.2747886,2.9107609,3.1376345
-0.9028204,-0.85091746,-0.70610476,-0.07873442,0.43797982,-0.26821032,-0.52612674,-0.9688629,-1.1876799,-1.1186615
