Model,Band_Selection,N_Bands,OA,AA,Kappa
SVM,PCA Loadings,12,0.8985,0.904,0.89
SVM,Mutual Information,12,0.7764,0.7864,0.7579
SVM,K-Means Clustering,12,0.9446,0.9519,0.94
SVM,Laplacian Score,12,0.8646,0.8773,0.8534
SVM,Genetic Algorithm,12,0.9713,0.9744,0.9689
SVM,QPSO,12,0.9754,0.9779,0.9733
SVM,Quantum Amplitude (Qiskit),12,0.9046,0.9177,0.8967
Random Forest,PCA Loadings,12,0.8892,0.8989,0.88
Random Forest,Mutual Information,12,0.7426,0.7523,0.7212
Random Forest,K-Means,12,0.9231,0.9341,0.9167
Random Forest,Laplacian Score,12,0.8297,0.8414,0.8156
Random Forest,Genetic Algorithm,12,0.9292,0.9386,0.9234
Random Forest,QPSO,12,0.9395,0.9468,0.9345
Random Forest,Quantum (Qiskit),12,0.8677,0.8785,0.8567
XGBoost,PCA Loadings,12,0.8974,0.9049,0.8889
XGBoost,Mutual Information,12,0.7374,0.7454,0.7156
XGBoost,K-Means,12,0.9272,0.9367,0.9211
XGBoost,Laplacian Score,12,0.8451,0.857,0.8322
XGBoost,Genetic Algorithm,12,0.9323,0.9388,0.9267
XGBoost,QPSO,12,0.9374,0.9446,0.9322
XGBoost,Quantum (Qiskit),12,0.8749,0.8857,0.8645
LightGBM,PCA Loadings,12,0.8872,0.8961,0.8778
LightGBM,Mutual Information,12,0.7344,0.7464,0.7123
LightGBM,K-Means,12,0.9313,0.9425,0.9256
LightGBM,Laplacian Score,12,0.8256,0.8361,0.811
LightGBM,Genetic Algorithm,12,0.9374,0.9421,0.9322
LightGBM,QPSO,12,0.9395,0.9417,0.9345
LightGBM,Quantum (Qiskit),12,0.8738,0.8833,0.8634
KNN,PCA Loadings,12,0.8605,0.871,0.849
KNN,Mutual Information,12,0.7272,0.7376,0.7045
KNN,K-Means,12,0.9241,0.9356,0.9178
KNN,Laplacian Score,12,0.8236,0.8394,0.809
KNN,Genetic Algorithm,12,0.9323,0.9422,0.9267
KNN,QPSO,12,0.9426,0.9499,0.9378
KNN,Quantum (Qiskit),12,0.8472,0.8604,0.8345


Model,Band_Selection,N_Bands,OA,AA,Kappa
KNN,PCA Loadings,12,0.8605,0.871,0.849
KNN,Mutual Information,12,0.7272,0.7376,0.7045
KNN,K-Means,12,0.9241,0.9356,0.9178
KNN,Laplacian Score,12,0.8236,0.8394,0.809
KNN,Genetic Algorithm,12,0.9323,0.9422,0.9267
KNN,QPSO,12,0.9426,0.9499,0.9378
KNN,Quantum (Qiskit),12,0.8472,0.8604,0.8345


Model,Band_Selection,N_Bands,OA,AA,Kappa
LightGBM,PCA Loadings,12,0.8872,0.8961,0.8778
LightGBM,Mutual Information,12,0.7344,0.7464,0.7123
LightGBM,K-Means,12,0.9313,0.9425,0.9256
LightGBM,Laplacian Score,12,0.8256,0.8361,0.811
LightGBM,Genetic Algorithm,12,0.9374,0.9421,0.9322
LightGBM,QPSO,12,0.9395,0.9417,0.9345
LightGBM,Quantum (Qiskit),12,0.8738,0.8833,0.8634


Model,Band_Selection,N_Bands,OA,AA,Kappa
Random Forest,PCA Loadings,12,0.8892,0.8989,0.88
Random Forest,Mutual Information,12,0.7426,0.7523,0.7212
Random Forest,K-Means,12,0.9231,0.9341,0.9167
Random Forest,Laplacian Score,12,0.8297,0.8414,0.8156
Random Forest,Genetic Algorithm,12,0.9292,0.9386,0.9234
Random Forest,QPSO,12,0.9395,0.9468,0.9345
Random Forest,Quantum (Qiskit),12,0.8677,0.8785,0.8567


Model,Band_Selection,N_Bands,OA,AA,Kappa
XGBoost,PCA Loadings,12,0.8974,0.9049,0.8889
XGBoost,Mutual Information,12,0.7374,0.7454,0.7156
XGBoost,K-Means,12,0.9272,0.9367,0.9211
XGBoost,Laplacian Score,12,0.8451,0.857,0.8322
XGBoost,Genetic Algorithm,12,0.9323,0.9388,0.9267
XGBoost,QPSO,12,0.9374,0.9446,0.9322
XGBoost,Quantum (Qiskit),12,0.8749,0.8857,0.8645


0,1,2,3,4,5,6,7,8,9,10,11
-0.22061132,-0.05470497,0.06331634,-0.13824885,-0.43043047,-0.355978,-0.105182596,0.14545369,0.14832069,-0.07865244,-0.044526756,0.36316624
-0.1793945,-0.1674791,-0.44537422,-0.34860158,0.11032837,0.03894404,0.025597632,0.031142134,-0.13473694,-0.1769178,-0.29469302,-0.36210716
-1.4628003,-1.5316383,-1.6277072,-2.0150056,-2.4352846,-2.4864786,-2.4761798,-2.4622788,-1.9653814,-1.7044975,-1.7688872,-1.8851814
-1.1273808,-1.1797287,-1.1009252,-1.4496186,-1.8025601,-1.8802385,-2.0087616,-2.0157492,-1.4423401,-1.2131706,-1.4115068,-1.4189342
0.17592272,0.14366879,-0.12611237,0.0023283367,0.41074997,0.38796508,0.47848472,0.5116079,0.31446323,0.24294329,0.071621865,0.16630633
-0.31157252,-0.291123,-0.42941114,-0.97350305,-1.3942319,-1.4290228,-1.5231794,-1.2495046,-0.5531699,-0.09651887,-0.0802648,-0.1548862
0.62788624,0.65998405,0.39322028,0.6498043,0.7700296,0.6209344,0.6141087,0.75451994,0.5359866,0.36800826,0.32178816,0.3320831
0.87660825,0.8760212,1.1605129,1.2706013,0.976033,1.0444363,1.0367225,1.0813797,0.8498114,0.41267434,0.5719544,0.7776082
-0.5276054,-0.67835945,-0.7082332,-0.74262816,-0.38383448,-0.24339058,-0.24686117,-0.26713958,-0.5285562,-0.54317963,-0.50018674,-0.68329966
-0.6597834,-0.68515307,-0.8146538,-0.5989726,-0.0073878434,-0.084036075,-0.06037826,-0.16175862,-0.64547133,-0.7933096,-0.732484,-0.7869102
-0.31015125,-0.3984622,-0.1995426,-0.21623328,-0.508908,-0.4044772,-0.15119787,-0.20105322,-0.036282107,-0.007186727,-0.044526756,0.05233478
-0.5816136,-0.58189,-0.6539587,-0.6410432,-0.32988122,-0.19575745,-0.20568962,-0.24392006,-0.46394524,-0.54317963,-0.3751036,-0.63149446
-1.5537615,-1.6987613,-1.8639611,-2.258194,-2.6265736,-2.6484313,-2.5936396,-2.5372956,-1.9992253,-1.8027627,-1.8135598,-1.8748204
-0.04579523,-0.073727116,-0.29425696,-0.104387194,0.39971408,0.3022254,0.4433678,0.30977657,0.18831797,-0.007186727,-0.044526756,0.08341793
-0.6441494,-0.5288997,-0.2708444,0.16650607,0.6829687,0.70580804,0.29684553,-0.013510818,-0.6823919,-0.90050817,-0.786091,-0.745466
1.059952,0.96297956,1.2669336,1.184408,0.75899374,0.7690302,0.7533654,0.831323,0.86827165,1.0201329,0.5719544,0.7568861
-0.8345995,-0.67835945,-0.41876906,0.009511112,0.25747365,0.2623868,0.20723684,-0.12425014,-0.6547015,-0.42704782,-0.85756713,-0.80763227
-1.7484753,-1.71099,-1.8756673,-2.3084733,-2.7197657,-2.7895987,-2.7086778,-2.7426994,-2.1130636,-1.892095,-1.7331492,-1.988792
1.3385206,1.3339113,1.1232657,1.0705097,0.6768376,0.5585783,0.9580122,1.0956686,1.5882226,1.4935933,1.527947,1.596131
0.7941747,0.57438445,0.87636983,1.0161259,0.6008126,0.55598015,0.5450858,0.7473755,0.8713484,0.48414004,0.5183474,0.6325535
-0.8331782,-0.80064464,-0.9593859,-0.5887115,0.095613845,0.050202783,0.042550627,-0.27249795,-0.820844,-0.86477536,-0.9647812,-1.0459363
0.60940975,0.59340656,0.9721484,0.9607159,0.49781093,0.43906245,0.61289775,0.784884,0.82827437,0.439474,0.634496,0.6532756
0.65062654,0.6178636,0.56987846,0.076208316,-0.5628612,-0.5742244,-0.65131116,-0.49933496,0.2436988,0.6538711,0.7685136,0.58074826
-0.10975233,-0.13758716,0.07502261,0.043372773,-0.38873932,-0.33086234,-0.14998694,-0.06352212,0.1513974,0.03747935,-0.16067539,0.093778975
-0.9838327,-0.89847285,-0.6422524,-0.21007662,0.19861554,0.11342496,-0.33162615,-0.6547272,-0.97467965,-1.1595713,-1.2238821,-1.0252143
-0.43806544,-0.31558004,0.027133327,-0.022298325,-0.13491374,-0.12733893,-0.21658798,-0.33143985,-0.39625755,-0.15011816,-0.19641343,-0.113442004
-0.8175442,-0.81015575,-0.6262893,-0.23983383,0.79700625,0.8166633,0.39735255,-0.061736006,-0.7100823,-0.8379757,-0.9915848,-0.7143828
0.7572217,0.7102568,0.44217375,0.9227498,1.5094347,1.2834681,1.3043376,1.1010269,0.649825,0.33227542,0.4558058,0.48749885
-1.0293133,-1.1131513,-1.3073813,-1.1859081,-0.6217193,-0.6824816,-0.49752328,-0.7583221,-1.1438988,-1.141705,-1.152406,-1.2946016
-0.30588743,-0.43243033,-0.46559414,-0.27472162,-0.030685844,0.025953183,-0.008308354,0.03471437,-0.32241645,-0.50744677,-0.57166284,-0.5589671
0.30667946,0.251008,0.4666505,0.34402323,0.24766396,0.35592097,0.34649357,0.40622693,0.47445235,0.439474,0.22350854,0.46677676
0.06079994,0.23877949,0.0005281713,0.03311166,0.17899618,0.18877192,0.21450241,0.24726243,0.13909055,0.1357447,0.04481834,0.19738947
-0.5006013,-0.4365065,-0.015434922,0.26706493,0.050244056,0.095237754,0.015910208,-0.17068921,-0.46702194,-0.5253132,-0.50018674,-0.46571764
0.6591541,0.7618883,1.1392288,1.2439225,1.0005572,1.068686,1.0052384,1.0027905,0.68366885,0.36800826,0.39326423,0.6739977
-0.7550084,-0.769394,-0.79017705,-0.852422,-0.53220594,-0.5456445,-0.27107975,-0.28321466,-0.5070192,-0.59677887,-0.51805574,-0.69366074
0.7970172,0.6871585,0.6560792,0.9884209,1.3255031,1.2713434,1.349142,1.0456573,0.70828253,0.56453896,0.55408543,0.57038724
2.4456892,2.5825791,2.7312813,2.3346782,1.895691,1.8680567,2.0248399,2.0030165,2.3297105,2.5566456,2.6536953,2.5597086
0.7685918,0.8977608,0.6592718,0.6138904,0.48554882,0.43906245,0.58262455,0.7134392,0.6959757,0.6985372,0.7953172,0.58074826
-0.13107136,-0.0098670665,-0.02714119,0.01874611,0.090709,0.19050404,0.32348594,0.52589685,0.07447957,0.18934399,-0.15174088,0.010890585
-0.112594865,-0.25443745,-0.48155725,-0.8544742,-1.3856485,-1.3675327,-1.530445,-1.2995158,-0.691622,-0.3466489,-0.30362752,-0.4553566
-0.61856663,-0.5221061,-0.09418618,0.07312999,-0.025781002,0.07185421,0.0716129,-0.17247532,-0.44856167,-0.4181146,-0.3751036,-0.3517461
0.63215005,0.6627015,0.75505036,0.80577314,0.4953585,0.52393603,0.6710223,0.7670228,0.9698032,0.84146863,0.7774482,0.78796923
-1.2638227,-1.2300016,-1.0934758,-0.8534481,-0.4439188,-0.5950098,-1.1877522,-1.3656023,-1.5500251,-1.3471688,-1.5633935,-1.6157942
-0.33289155,-0.23677404,-0.17400165,-0.14748386,0.06495858,0.25459227,0.20239313,0.24190408,-0.063972525,-0.069719225,-0.25002047,-0.030553611
-0.70526403,-0.6430326,-0.60394096,-0.29626995,0.21455628,0.28490427,0.17333086,0.0668645,-0.5470165,-0.76650995,-0.58953184,-0.67293864
-0.5531882,-0.44058266,-0.39961335,-0.39888102,-0.23546301,-0.23386395,-0.53021836,-0.6565134,-0.57163024,-0.68611103,-0.4465797,-0.70402175
5.040926,4.7117,3.978531,3.3741286,2.5173798,2.4396544,1.9594496,1.8190464,2.4589324,2.5923786,2.6179574,2.5079033
0.032374565,-0.046552625,0.108013,0.011563335,-0.26734447,-0.2226052,-0.057956405,0.09365627,0.27138925,0.18041077,0.10735991,0.18702842
-1.6489865,-1.5275621,-1.7277427,-2.157635,-2.529703,-2.5808787,-2.5645773,-2.5337234,-2.0453758,-1.7223638,-1.8850359,-1.8851814
0.03379583,0.045840632,0.028197533,-0.08489109,-0.12265164,-0.031206587,-0.002253713,0.10794522,0.080633,0.27867615,0.00014579095,0.12486212
0.7927534,0.9711319,0.6475655,0.96379423,1.191846,1.1682825,1.1275421,1.147466,0.7667401,0.80573577,0.7059721,0.71544194
-0.49633747,-0.5139538,-0.12824078,0.1777933,0.4622508,0.42347342,0.012277424,-0.25106454,-0.7962303,-0.6146453,-0.9558467,-0.82835436
0.1816078,0.10970067,0.29212067,0.09159998,0.047791634,0.100434095,0.42036018,0.4937467,0.84058124,0.9040011,0.7863827,0.8812187
0.82402134,0.8094437,0.6848127,0.5112793,0.48922744,0.5282663,0.4518443,0.62591946,0.72366613,0.73427004,0.7149066,0.8190524
-0.8942928,-0.90662515,-0.8976619,-0.70774037,-0.16556899,-0.13946374,-0.053112693,-0.25106454,-0.69469875,-0.7754432,-0.76822203,-0.7972712
0.8268639,0.76732326,0.51241136,0.7965382,1.0557367,1.0522308,1.0246133,0.87240374,0.61598116,0.6538711,0.7238411,0.48749885
-0.024476193,-0.10497777,-0.31660527,-0.15158829,0.044113003,0.040676154,0.017121136,0.11151745,0.019098736,-0.007186727,0.071621865,-0.12380305
-0.7834338,-0.729991,-0.38577867,-0.06231665,0.44140524,0.55424803,0.2907909,0.03292825,-0.6423946,-0.8022428,-0.8933052,-0.69366074
0.4829168,0.40182644,0.15590228,0.23217717,0.4965847,0.45205328,0.558406,0.513394,0.31753993,0.019612916,0.2681811,0.3320831
0.9547781,0.85156417,0.56455743,0.59336823,0.6008126,0.6122739,0.6807097,0.7491616,0.6990524,0.72533685,0.6881031,0.70508087
0.124757044,0.03497084,-0.1665522,-0.64412147,-1.2066218,-1.2298297,-1.1804867,-1.0958984,-0.21473148,0.45734042,0.29498464,0.3320831
-1.1359085,-1.0982053,-1.1105031,-0.6728526,-0.27838036,-0.38888818,-0.8426378,-1.09054,-1.3315784,-1.4722339,-1.4204413,-1.3360459
0.743009,0.6790062,1.0051388,1.0007342,0.89265066,0.8166633,0.7787949,0.8116757,0.6590551,0.5109397,0.6255615,0.518582
0.7003709,0.6844411,0.33788154,0.71137094,1.1268569,0.9595628,1.0149258,0.9295596,0.606751,0.35014182,0.31285363,0.4149715
0.06222121,0.029535942,-0.23359719,-0.09104775,0.30406964,0.17837924,0.21450241,0.2740542,0.11447685,0.16254435,0.12522893,-0.07199781
-0.83175695,-0.8047208,-0.8806346,-0.66259146,-0.009840265,0.054533068,-0.048268978,-0.34572878,-0.83930427,-0.9183746,-0.8128946,-0.9216038
-0.84454834,-0.82781917,-1.1030536,-1.111002,-0.66708916,-0.7483019,-0.64283466,-0.66365784,-0.90083855,-0.891575,-0.76822203,-0.99413115
-1.7186286,-1.7137073,-1.8352275,-2.2746117,-2.7087297,-2.7618847,-2.6602407,-2.739127,-2.1130636,-1.936761,-1.9029049,-1.9162645
-1.5864506,-1.6430537,-1.889502,-2.3443873,-2.6952415,-2.7618847,-2.6602407,-2.6676824,-2.0915265,-1.9278278,-1.7778217,-1.9680698
4.677081,4.8040934,4.144547,3.5157318,2.7000852,2.6059375,2.6629992,2.5727882,3.323489,3.5214329,3.5292773,3.7823124
-0.26467064,-0.39574477,-0.6475734,-1.1140803,-1.446959,-1.4662633,-1.3209544,-1.24236,-0.4516384,-0.14118494,-0.05346127,-0.113442004
-1.5367062,-1.7096312,-1.8607684,-2.3197606,-2.705051,-2.7740095,-2.655397,-2.5926654,-2.1069102,-1.8563621,-1.8850359,-1.9784309
0.2953093,0.22926842,-0.04948952,0.11622664,0.3445346,0.4139468,0.47969565,0.52411073,0.2652358,0.24294329,0.14309794,-0.061636757
-1.5622891,-1.7585453,-1.9086577,-2.3187344,-2.733254,-2.7740095,-2.652975,-2.737341,-2.1222937,-1.9635606,-1.8492978,-1.9059036
1.2319255,1.241518,1.0402576,1.110528,0.6645755,0.6365234,0.9362155,1.0849519,1.6928308,1.770523,1.617292,1.6893804
0.23703727,0.12600537,-0.06119579,-0.080786645,-0.087091535,-0.096160874,0.011066496,0.2454763,0.27754265,0.23401007,0.25924656,0.05233478
2.2680306,2.327139,2.6738143,2.2361717,2.0403838,2.1573198,2.057535,2.0601723,2.3204803,2.360115,2.2873805,2.1556277
-1.5395488,-1.5927808,-1.6979449,-1.9924312,-2.290592,-2.3920784,-2.4325864,-2.419412,-1.980765,-1.8742285,-1.7599527,-1.8644593
-1.4542727,-1.4786481,-1.5755612,-1.9031596,-2.3580334,-2.4353812,-2.422899,-2.499787,-1.8669266,-1.6598314,-1.6348696,-1.7608489
-0.5276054,-0.5316172,-0.59755576,-0.5363799,-0.10916332,0.032015584,-0.105182596,-0.18676427,-0.44548497,-0.38238174,-0.3572346,-0.34138507
0.056536134,-0.028889207,-0.13781863,-0.037689988,0.22313975,0.22428028,0.22661169,0.256193,0.108323425,0.11787828,0.196705,0.06269583
-0.058586646,-0.12535864,0.12184768,0.08954776,-0.2575348,-0.21048042,-0.16330715,0.12580639,0.22523853,0.15361114,-0.017723229,0.18702842
0.6364138,0.7469424,1.4457202,1.2654707,0.87670994,0.8833497,0.9350046,0.91348445,0.77289355,0.42160755,0.42900229,0.6532756
-1.5892931,-1.6009332,-1.6628261,-1.8508279,-2.239091,-2.2976782,-2.4313755,-2.331892,-1.9438444,-1.6955642,-1.7063457,-1.8333762
0.008212991,-0.083238184,0.046289038,0.03105944,0.020815,0.103898324,0.33196244,0.3437128,0.40368792,0.36800826,0.24137755,0.3528052
-0.24335161,-0.26123106,-0.10269983,-0.104387194,-0.056436263,0.086577184,0.19028385,0.19010665,-0.21165477,-0.3377157,-0.32149655,-0.14452514
-0.4863886,-0.34003708,-0.3197979,-0.38041103,-0.27715415,-0.16371334,-0.08096404,-0.19569486,-0.3562603,-0.39131495,-0.49125224,-0.40355137
0.70321345,0.71705043,0.83912265,0.6887965,0.40461892,0.5248021,0.5499295,0.8384675,1.0528744,0.9576004,0.9204003,0.953746
0.85386795,0.9534685,0.74121565,1.0130476,1.3855875,1.3631454,1.4472271,1.2546331,0.8867319,0.8772015,0.8489242,0.7776082
0.49855074,0.38552174,0.24210298,0.68161374,1.075356,1.1241137,1.0984799,0.87240374,0.4190715,0.26974294,0.20563951,0.19738947
0.21145444,0.123287916,-0.19209315,-0.08796942,0.12749532,0.10476438,0.18907292,0.22761513,0.18524125,0.18041077,0.15203245,0.093778975
-0.5858774,-0.46368098,-0.55285907,-0.51380545,-0.33478606,-0.1948914,-0.16693993,-0.09210002,-0.36241373,-0.32878247,-0.28575853,-0.34138507
2.0761592,2.036372,1.8139355,1.7518473,1.1697743,1.0929356,1.2510568,1.5386258,2.1143405,2.404781,2.367791,2.248877
-0.20924117,-0.018019414,-0.28255066,-0.73852366,-1.2961351,-1.2003838,-1.4759532,-1.1530541,-0.53163296,-0.08758566,-0.08919931,-0.14452514
-0.34141916,-0.40117967,-0.36768717,-0.3208966,-0.6364339,-0.5646978,-0.5108435,-0.3778789,0.068326145,0.18041077,-0.0802648,0.021251634
0.20719063,0.12872282,0.31021217,0.122383304,-0.14349721,-0.1403298,-0.22869726,-0.21534216,0.009868597,0.17147757,0.17883599,0.24919473
0.88229334,0.8026501,1.0125883,0.7914076,0.5480856,0.6477822,0.7134048,0.8884788,1.2467074,1.189864,1.0990905,1.1091617
0.15602496,0.03225339,0.056931097,0.037216105,0.02326742,0.0701221,0.11399538,0.25797912,0.3606139,0.30547577,0.35752618,0.22847262
-0.83175695,-0.92157114,-0.78592026,-0.3229488,0.999331,1.1492293,0.9010986,0.4133714,-0.6854686,-0.9987736,-0.9201087,-0.9319649
0.8709232,0.85699904,1.037065,0.82219094,0.5149779,0.71706676,0.66981137,0.6937919,1.2282472,1.1719977,1.1705666,1.140245
0.2810966,0.34883618,0.030325945,0.2260205,0.6510872,0.614006,0.57778084,0.47052717,0.16370426,0.29654256,0.16990148,0.29063892
1.0031012,0.8542816,1.0200377,0.78627706,0.3825471,0.4763029,0.7448889,0.8188202,1.2620909,1.2166637,1.2688462,1.2852997
