Model,Band_Selection,N_Bands,OA,AA,Kappa
0.029535942,-0.23359719,-0.08873465,0.081168525,0.18973693,0.062096316
-0.8047208,-0.8806346,-0.37570542,0.07863195,0.011940055,-0.74350363
-0.82781917,-1.1030536,-0.9702266,-0.6721937,-0.6543667,-0.8783052
-1.7137073,-1.8352275,-2.513695,-2.755566,-2.7516794,-2.3322365
-1.6430537,-1.889502,-2.5457077,-2.7454195,-2.7862031,-2.2744644
4.8040934,4.144547,3.3972173,2.7775457,2.5839531,2.8800912
-0.39574477,-0.6475734,-1.2400477,-1.3655237,-1.4630835,-0.814114
-1.7096312,-1.8607684,-2.5571408,-2.7758584,-2.7490902,-2.3386557
0.22926842,-0.04948952,0.15707697,0.32806164,0.4184562,0.33490905
-1.7585453,-1.9086577,-2.5628574,-2.7547202,-2.8017387,-2.3161888
1.241518,1.0402576,0.86478585,0.37118337,0.6325029,1.4422077
0.12600537,-0.06119579,-0.14704347,-0.16995221,-0.025172886,0.306023
2.327139,2.6738143,2.2607672,2.2000525,2.0229435,2.0584435
-1.5927808,-1.6979449,-2.1295428,-2.3277304,-2.3883178,-2.1621299
-1.4786481,-1.5755612,-2.096387,-2.3378768,-2.446145,-2.0754716
-0.5316172,-0.59755576,-0.35626915,0.0008437021,0.005035321,-0.29416502
-0.028889207,-0.13781863,0.0073033846,0.03720125,0.2337546,0.11023974
-0.12535864,0.12184768,-0.10359768,-0.33398396,-0.158089,0.30281344
0.7469424,1.4457202,1.2077788,1.0399932,0.9035137,0.8356006
-1.6009332,-1.6628261,-2.0906703,-2.2812266,-2.3719192,-2.1845968
-0.083238184,0.046289038,0.09076501,0.16656649,0.15521327,0.46971062
-0.26123106,-0.10269983,-0.031569153,0.14035523,0.018844787,0.14875448
-0.34003708,-0.3197979,-0.28195402,-0.15811488,-0.19692813,-0.22676422
0.71705043,0.83912265,0.6246908,0.56649953,0.4374442,1.1501377
0.9534685,0.74121565,1.1997757,1.2479922,1.4101485,0.9030014
0.38552174,0.24210298,0.7801809,1.068741,1.0321144,0.5306923
0.123287916,-0.19209315,-0.09902444,-0.018603358,0.07839811,0.16801184
-0.46368098,-0.55285907,-0.47746,-0.24689496,-0.19779122,-0.28453633
2.036372,1.8139355,1.4124312,0.8852622,1.1529472,1.8690795
-0.018019414,-0.28255066,-0.934784,-1.2361585,-1.2378166,-0.8494191
-0.40117967,-0.36768717,-0.45688042,-0.7136244,-0.5904979,-0.08233395
0.12872282,0.31021217,0.07247205,0.033819154,-0.1477319,0.004324212
0.8026501,1.0125883,0.76188797,0.670499,0.63163984,1.3170348
0.03225339,0.056931097,-0.05443535,-0.058343,0.04991609,0.41514808
-0.92157114,-0.78592026,0.20280938,1.1659763,1.1365485,-0.49957696
0.85699904,1.037065,0.7641746,0.66711694,0.6644373,1.1019943
0.34883618,0.030325945,0.33543333,0.4650366,0.6558064,0.16480228
0.8542816,1.0200377,0.6967193,0.58341,0.48750353,1.2881488
-1.3876135,-1.4925531,-2.0643742,-2.2812266,-2.3175442,-1.9149935
-0.59411854,-0.19634998,0.3651594,0.6967103,0.57812816,-0.6440072
-0.10361905,-0.07715888,-0.6981188,-0.9021764,-0.98061526,-0.6119116
3.588035,3.3314936,3.0702307,2.7420337,2.338835,2.1418922
-1.1063577,-1.1605208,-0.89591146,-0.95290786,-1.0651983,-1.5009601
0.053992976,-0.2719086,-0.982803,-1.253069,-1.3120425,-0.1689921
0.7510185,0.598612,0.78589743,1.0611312,1.0502393,0.82276237
-0.7123276,-0.80507594,-0.73356146,-0.61469805,-0.5378493,-0.762761
-0.56830275,0.033518564,0.118204445,0.09723348,-0.0010063202,-0.2716981
1.7754968,1.5723608,1.2169253,0.7136208,0.92422795,1.6219432
-0.5778138,-0.7614435,-0.6626762,-0.36780494,-0.4273736,-0.54130125
-0.0506288,-0.30915582,-0.05900859,0.07609537,0.3183376,0.08456325
-0.7870574,-0.8295527,-0.6489565,-0.3280653,-0.3540108,-0.48352912
0.73335516,0.4719715,0.8990851,0.91485554,1.0157157,0.569207
0.021383593,0.08034364,-0.09102127,0.032128103,0.044737536,0.19368833
-0.0098670665,0.18037902,-0.18477269,-0.33990264,-0.44031996,-0.48673868
-0.53569335,-0.47091517,-0.018992743,0.34412658,0.3269685,-0.4610622
-0.69602287,-0.68162805,-0.5449153,-0.1623425,-0.22972561,-0.31663194
-0.6552611,-0.815718,-0.5563484,-0.15219621,-0.15463664,-0.54130125
-0.9351584,-1.0572928,-0.44430402,0.010989995,-0.10112495,-0.9296582
-0.8740158,-0.9827984,-0.3173966,0.5377517,0.30711737,-0.7788088
-0.45009375,-0.031398013,-0.04414556,-0.14965963,-0.22368397,-0.23960246
0.77547556,0.8987182,0.84763616,0.31030563,0.5030392,0.8709058
6.272874,5.3077245,4.2204003,3.3837867,2.8135355,2.2927415
-0.85091746,-0.70610476,0.09419494,0.43797982,0.32178995,-0.92323905
1.2089087,0.9466075,0.7390217,0.43544325,0.62387204,1.2079098
-0.22726296,0.10162776,0.011876624,-0.10400132,-0.158089,-0.050238334
-0.26802468,-0.07290205,0.50578654,0.896254,0.6549433,-0.31342238
0.6830824,0.7827197,0.614401,0.30185038,0.54446757,1.2239575
-0.4025384,-0.014370715,0.08733508,-0.056651954,0.024023337,-0.23318334
0.31486806,0.4155686,0.39259884,0.3965491,0.36925998,0.569207
0.5281878,0.48048517,1.0362823,0.9943348,1.2332147,0.854858
-0.24628511,-0.06545261,0.21995902,0.068485655,0.07321956,-0.2877459
-0.6810769,-0.8625431,-0.66724944,-0.35343102,-0.4247843,-1.003478
5.1532855,4.521276,3.3309054,2.697221,2.36818,2.6169074
0.43987072,0.42940328,0.15707697,0.03720125,0.20009403,0.6879608
1.3407049,1.2190443,1.0042696,0.48279262,0.84654963,1.5096085
-1.5724,-1.7277427,-2.2987528,-2.5678594,-2.6325727,-2.2231114
-0.28432938,-0.2889359,-0.24651143,0.0042257993,-0.032940708,-0.05986702
0.28089994,0.08672888,-0.025852602,-0.16065145,-0.0027325035,0.49217755
-0.46639842,-0.030333808,-0.06929838,-0.14543201,-0.18225557,-0.050238334
0.31622678,0.74015146,0.3651594,0.2333629,0.11119559,0.6879608
-0.38487497,-0.34853145,-0.20649558,0.21476138,0.19060002,0.12628755
1.0580902,0.897654,0.79733056,0.41599616,0.60919946,1.2207481
-0.20959955,0.13887498,-0.0601519,-0.3035451,-0.3220764,0.052467633
-1.7340882,-1.817136,-2.4599595,-2.6811597,-2.7154295,-2.3258173
0.24149694,-0.0026644473,0.18565972,0.27225703,0.4080991,0.21615526
-0.3875924,-0.2516887,0.23596536,0.5555077,0.31315902,-0.5124152
0.532264,1.0349365,0.96768373,0.8793435,0.8111629,0.8067146
1.4752188,1.3808037,1.1151707,0.68402743,0.8508651,1.5545424
-0.2802532,-0.1995426,-0.39857164,-0.6138525,-0.55856353,0.09098237
0.96705574,1.3712258,1.3541225,1.1625942,1.0347037,0.87411535
-0.60906446,-0.6614081,0.038172755,0.5867921,0.52547956,-0.6375881
0.84612924,0.91255283,0.8384897,0.478565,0.55655086,0.84201974
-0.1674791,0.1612233,0.60068125,0.95628625,0.7697345,-0.0053044725
0.9724906,1.4850959,1.3152499,1.1084806,1.0554179,0.97682136
-0.60498834,-0.36768717,0.17536993,0.42952457,0.39601582,-0.53809166
-0.85499364,-0.92107445,-0.80330336,-0.5944055,-0.62070614,-0.66005504
-0.4079733,-0.26020235,-0.24994135,-0.027904127,-0.029488344,0.023581581
0.14910369,0.33894575,0.2748379,0.18178593,0.115511045,0.58525485
-1.666152,-1.6649545,-2.1341162,-2.2795355,-2.3857286,-2.152501
0.61107,1.0083314,0.9894066,0.87088823,0.79994273,0.8612771
0.5798193,0.3985413,1.0374256,1.122009,1.2081851,0.6526556
0.7252028,0.36767933,-0.3036769,-0.6028607,-0.70097363,0.5371114
0.8284658,0.5198608,0.75274146,0.8193113,0.9138709,0.70721817
0.59340656,0.58264893,0.47377384,0.32298848,0.46333697,0.85164845
0.7877041,0.51241136,1.1666197,1.1879599,1.4222318,0.79066676
-0.37264645,0.04522483,0.32743016,0.14542837,0.14830853,-0.35835624
0.83390075,1.3180155,1.3861351,1.2353092,1.1563996,0.99928826
-0.7381433,-0.93065226,-0.90848786,-0.64598244,-0.53526,-0.7306654
-0.94331074,-0.60181254,0.105628036,0.5555077,0.22771296,-0.9039817
-0.14981568,0.03671118,-0.2648044,-0.38640648,-0.33847517,0.52748275
0.57438445,0.3974771,0.78704077,0.8345308,0.92681724,0.58525485
-0.33731964,-0.4368606,-0.27395087,-0.19193585,0.05768391,-0.15936342
-0.12535864,0.11759085,-0.22478853,-0.3035451,-0.36954644,0.35416642
0.6232985,1.4435918,1.2866672,1.1473747,0.9311327,0.8131337
1.0811886,0.79442596,0.481777,0.16233887,0.44175968,1.2977775
-0.25579616,-0.4741078,-1.0331086,-1.3705969,-1.4078456,-0.7884375
1.0879822,0.8338016,1.2054921,1.1110172,1.3247025,0.7200564
0.8950433,0.7827197,0.47377384,0.08201405,0.3269685,1.1726046
-1.2354364,-1.2956749,-0.74613786,-0.08286321,-0.23749343,-1.0805075
0.8502054,0.60393304,0.54808897,0.5250688,0.6583957,0.79387635
-0.9446694,-0.7231321,0.09648156,0.7702709,0.46420005,-0.94891554
-0.37808135,-0.15697435,0.09533825,-0.07018034,0.01539242,-0.24923114
-1.1321734,-0.92213863,-0.32425648,0.1910867,-0.07350601,-1.0933458
-1.6104443,-1.8267138,-2.362778,-2.5382662,-2.5600731,-2.1781776
-0.36177665,-0.23146878,-0.3825653,-0.6223078,-0.50073636,-0.014933157
-0.89439666,-1.1967038,-0.949647,-0.5377553,-0.5861825,-0.9071913
-0.212317,-0.063324206,-0.021279363,0.13105446,0.12586814,0.26750824
0.013231248,0.247424,0.79504395,0.965587,0.8802102,0.09098237
-0.59411854,-0.18570791,0.6864295,1.1330009,0.91646016,-0.48031956
0.12464664,-0.035654843,-0.5700681,-0.7406812,-0.71909857,-0.19787817
1.395054,1.7947799,1.1723362,0.9173921,0.8327402,1.9782045
0.34611872,0.060123716,-0.67410934,-0.98081017,-1.0427579,0.04604851
0.7360726,0.5539154,0.9528207,1.1076351,1.2478874,0.7425234
-0.85091746,-0.39961335,0.37887913,0.8505957,0.6765206,-0.7274558
-0.4188431,0.12716872,0.042745993,-0.10484684,-0.11924988,-0.14652517
0.7618883,0.42514646,0.62240416,0.88441664,0.8292878,0.76819986
-0.21095827,-0.18890053,-0.29910368,-0.54790163,-0.48261145,-0.034190524
-0.60091215,-0.64863765,-0.41000473,-0.076099016,-0.054518,-0.39687097
0.8040088,0.5720069,0.3663027,0.13866419,0.2630997,0.94151616
-1.4338101,-1.47659,-1.9340369,-2.1019754,-2.2062056,-2.1139863
0.0010027285,0.034582768,0.006160075,-0.26718754,-0.20210667,0.3477473
0.73335516,0.42301804,0.77217776,0.81001055,1.0519655,0.6269791
-0.20552337,-0.28255066,-0.8924815,-1.1439964,-1.1704954,-0.9296582
-0.24492638,-0.22295512,0.15822029,0.33905345,0.4374442,-0.02135228
1.3977715,1.4787107,1.1300337,0.7136208,0.95788854,1.6861345
-0.16612037,0.2942491,0.8339165,0.9630504,0.88538885,-0.053447895
-0.27210087,-0.15484594,-0.29796034,-0.5749584,-0.44463542,0.04283895
0.30399826,0.12823291,-0.0041297143,-0.0930095,0.09652304,0.54994965
-0.024813034,-0.29851377,0.017593173,0.30776903,0.46506315,-0.02135228
-0.05470497,-0.111213475,-0.05443535,0.1082253,0.14658235,0.3477473
-0.13486971,-0.0452327,-0.29338712,-0.58087707,-0.49210545,0.35737598
-0.44194138,-0.29957798,0.1353541,0.47264633,0.31056976,-0.4450144
1.365162,1.2499063,0.9402443,0.55973536,0.7964904,1.5224468
-0.51667124,-0.04948952,0.045032613,-0.12091181,-0.035529986,-0.17220168
4.5921326,4.0115213,3.1342561,2.7259688,2.4208288,2.4339623
-1.0710309,-1.1988322,-0.6603896,-0.10484684,-0.252166,-1.1446987
0.8284658,1.2467136,1.3381162,1.1904964,1.0044955,1.015336
0.5281878,1.1966959,1.0820147,0.9698146,0.8292878,0.81634325
1.7483224,1.4936095,1.282094,0.8311487,1.0536917,1.6123145
0.33253148,0.032454357,0.015306554,0.021981811,0.1923262,0.25467
-1.2286428,-1.2669414,-0.934784,-0.6975594,-0.7441282,-1.1543275
-1.5764762,-1.6000379,-1.8803012,-2.0630813,-2.2709374,-2.0562143
-1.5465842,-1.6298357,-1.9946322,-2.2085116,-2.2830207,-2.110777
-0.0098670665,-0.00053603493,-0.27509418,-0.492097,-0.39975467,0.20010746
-0.3916686,-0.005857066,0.25883156,0.16402991,0.27173063,-0.12726781
0.03768829,0.23465353,0.2634048,0.16064781,-0.069190554,0.27392736
-0.87809193,-1.0051467,-0.6706794,-0.29593536,-0.47225437,-0.762761
2.7048643,2.781299,2.337369,2.107045,1.933182,2.0295575
-1.5438668,-1.646863,-2.2610235,-2.5137458,-2.5617993,-2.1878064
-0.20416465,0.022876501,-0.18934593,-0.39317068,-0.26770163,0.306023
-0.1511744,0.040968005,-0.13218042,-0.26718754,-0.25475526,0.31244212
0.16404966,0.16973697,-0.03614239,-0.20884635,-0.069190554,0.57562613
-1.0180405,-1.1105031,-0.48546317,0.14035523,-0.12097606,-1.0837171
-1.4745718,-1.652184,-1.9614763,-2.1873734,-2.2312353,-2.1396627
-0.13622843,-0.475172,-1.1668758,-1.4196373,-1.4440955,-0.72424626
1.0322745,0.7667566,0.644127,0.24689129,0.52030104,1.089156
0.6627015,0.5358239,0.3765925,0.1809404,0.265689,0.82276237
-0.39438605,-0.24743187,-0.47060016,-0.65951085,-0.5697837,0.26108912
0.23742077,0.03671118,0.46234074,0.6214586,0.82583547,0.26108912
-1.602292,-1.7373205,-2.414227,-2.6287372,-2.6006384,-2.2391593
-0.5221061,-0.49432772,-0.16076317,0.18178593,0.087029025,-0.1689921
-0.8468413,-0.3229905,0.08161853,0.30354142,0.106880136,-0.50920564
-0.36449412,-0.06226,0.009590005,-0.086245306,-0.088178575,-0.1786208
-0.53433466,-0.61032623,-0.45802376,-0.12344838,-0.17535083,-0.36477536
-1.5737587,-1.6383493,-2.052941,-2.2372594,-2.3667405,-2.110777
-0.17699017,0.06331634,0.16622345,-0.0025383953,0.05682082,-0.2716981
-0.79249233,-0.79230547,-0.7747206,-0.5783405,-0.53871244,-0.34230843
-0.4759095,-0.53583175,-0.15047339,0.11076187,0.15866563,-0.42254746
0.070297666,-0.17825846,-0.60208076,-0.7702745,-0.77088404,-0.6696837
0.44666433,0.42301804,-0.11731739,-0.26380545,-0.40061775,0.1968979
1.2401593,1.2243654,1.0317091,0.54028827,0.7481572,1.5481232
-1.0030946,-0.77208555,-0.05557866,0.10737978,0.039558988,-1.0066876
-0.09139053,-0.051617935,-0.2911005,-0.5445195,-0.38939756,0.31565168
0.029535942,-0.11866292,0.21424247,0.3686468,0.5306581,0.24183176
-0.6321628,-0.88808405,-0.6843991,-0.53944635,-0.3436537,-0.7017793
0.33660764,0.27296495,0.015306554,-0.15135068,0.07408265,0.67191297
0.28769356,0.08353626,-0.6946889,-1.0366148,-1.0979958,-0.02135228
0.33117273,0.11971927,0.040459372,-0.04143252,0.079261206,0.591674
0.5852542,0.8646636,0.7241587,0.32298848,0.41241458,0.8901632
-0.51667124,-0.3879071,0.30456397,0.73983204,0.6670266,-0.29095545
1.1260265,1.0232303,0.7961872,0.3128422,0.6204196,1.3362923
-1.0995641,-1.2275658,-0.9896628,-1.0535252,-1.1126683,-1.5491035
1.3882602,1.3190796,1.0328524,0.52675986,0.75419885,1.637991
-0.5846074,-0.6752428,-0.23050508,0.15642019,0.07408265,-0.5830255
0.8991195,0.6592718,0.49892667,0.26211074,0.45297986,0.957564
0.54177505,0.28573543,1.0374256,1.1228545,1.2591075,0.5339019
-0.78841615,-0.8125254,-0.29453042,0.35427287,0.20440948,-0.5188343
-0.705534,-0.9508722,-0.80901986,-0.5470561,-0.39284992,-0.7595514
-0.6253692,-0.73590255,-0.5734981,-0.2933988,-0.34451678,-0.4514335
1.2469529,1.1253941,0.9505341,0.4540448,0.6955086,1.477513
0.61922234,0.42514646,0.35944286,0.081168525,0.24065933,0.8676962
0.0050789015,-0.15271752,-0.73927796,-1.0949559,-1.0677875,-0.74992275
-1.6145204,-1.7522194,-2.4050806,-2.6185908,-2.7154295,-2.2519975
-1.0384214,-1.2073458,-0.96451,-0.55297476,-0.6560929,-1.1126032
-0.996301,-1.027495,-0.29338712,-0.08962741,-0.19865431,-1.3886255
1.3624445,1.2264937,1.0580052,0.58510107,0.8085736,1.5288659
-0.7571655,-0.5688222,0.31599706,0.8336852,0.62905055,-0.5124152
-0.33460218,-0.3549167,-0.21449874,0.069331184,0.03610662,-0.05986702
